"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","mass","log_mass"
"Elephant Moraine 83305",7945,"Valid","H5",167,"Found",1983,-76.28722,157.22528,"(-76.28722, 157.22528)",167,2.22271647114758
"Elephant Moraine 83306",7946,"Valid","L6",41.8,"Found",1983,-76.30583,157.30972,"(-76.30583, 157.30972)",41.8,1.62117628177504
"Elephant Moraine 83308",7948,"Valid","L5",136.9,"Found",1983,-76.30361,157.27445,"(-76.30361, 157.27445)",136.9,2.13640344813399
"Elephant Moraine 83310",7950,"Valid","H6",64.2,"Found",1983,-76.28806,157.23611,"(-76.28806, 157.23611)",64.2,1.80753502806885
"Elephant Moraine 83312",7952,"Valid","L6",93,"Found",1983,-76.29861,157.27861,"(-76.29861, 157.27861)",93,1.96848294855394
"Elephant Moraine 83314",7953,"Valid","L6",23.7,"Found",1983,-76.31028,157.1975,"(-76.31028, 157.1975)",23.7,1.3747483460101
"Elephant Moraine 83315",7954,"Valid","L6",113.5,"Found",1983,-76.32972,157.255,"(-76.32972, 157.255)",113.5,2.05499586152914
"Elephant Moraine 83316",7955,"Valid","L6",51.1,"Found",1983,-76.32778,157.23056,"(-76.32778, 157.23056)",51.1,1.70842090013471
"Elephant Moraine 83317",7956,"Valid","L6",119,"Found",1983,-76.2975,157.23,"(-76.2975, 157.23)",119,2.07554696139253
"Elephant Moraine 83319",7958,"Valid","L6",7.2,"Found",1983,-76.29833,157.18667,"(-76.29833, 157.18667)",7.2,0.857332496431269
"Elephant Moraine 83320",7959,"Valid","H6",56.3,"Found",1983,-76.29639,157.23778,"(-76.29639, 157.23778)",56.3,1.75050839485135
"Elephant Moraine 83321",7960,"Valid","H6",11,"Found",1983,-76.32861,157.20028,"(-76.32861, 157.20028)",11,1.04139268515823
"Elephant Moraine 83323",7962,"Valid","L6",140.5,"Found",1983,-76.3,157.18361,"(-76.3, 157.18361)",140.5,2.1476763242411
"Elephant Moraine 83324",7963,"Valid","H5",142.8,"Found",1983,-76.285,157.28889,"(-76.285, 157.28889)",142.8,2.15472820744016
"Elephant Moraine 83325",7964,"Valid","L6",93.4,"Found",1983,-76.32472,157.1875,"(-76.32472, 157.1875)",93.4,1.97034687623009
"Elephant Moraine 83326",7965,"Valid","H5",112.6,"Found",1983,-76.28278,157.21167,"(-76.28278, 157.21167)",112.6,2.05153839051533
"Elephant Moraine 83328",7966,"Valid","L6",88.1,"Found",1983,-76.29667,157.27917,"(-76.29667, 157.27917)",88.1,1.94497590841205
"Elephant Moraine 83330",7968,"Valid","L6",49.2,"Found",1983,-76.28444,157.27195,"(-76.28444, 157.27195)",49.2,1.69196510276736
"Elephant Moraine 83331",7969,"Valid","H5",0.3,"Found",1983,-76.28028,157.23583,"(-76.28028, 157.23583)",0.3,-0.522878745280338
"Elephant Moraine 83335",7972,"Valid","L6",226.9,"Found",1983,-76.32333,157.18278,"(-76.32333, 157.18278)",226.9,2.35583449588494
"Elephant Moraine 83336",7973,"Valid","L6",130,"Found",1983,-76.32889,157.19722,"(-76.32889, 157.19722)",130,2.11394335230684
"Elephant Moraine 83338",7974,"Valid","H5",26.6,"Found",1983,-76.32833,157.21528,"(-76.32833, 157.21528)",26.6,1.42488163663107
"Elephant Moraine 83339",7975,"Valid","L6",72.7,"Found",1983,-76.32806,157.21195,"(-76.32806, 157.21195)",72.7,1.86153441085904
"Elephant Moraine 83340",7976,"Valid","L5",15.2,"Found",1983,-76.27361,157.20694,"(-76.27361, 157.20694)",15.2,1.18184358794477
"Elephant Moraine 83342",7978,"Valid","L6",148.6,"Found",1983,-76.18333,157.16667,"(-76.18333, 157.16667)",148.6,2.17201880942456
"Elephant Moraine 83343",7979,"Valid","L6",125.1,"Found",1983,-76.29972,157.20333,"(-76.29972, 157.20333)",125.1,2.09725730969342
"Elephant Moraine 83344",7980,"Valid","L6",87.1,"Found",1983,-76.32861,157.23194,"(-76.32861, 157.23194)",87.1,1.94001815500766
"Elephant Moraine 83345",7981,"Valid","L6",11.8,"Found",1983,-76.32778,157.23028,"(-76.32778, 157.23028)",11.8,1.07188200730613
"Elephant Moraine 83346",7982,"Valid","H5",21.5,"Found",1983,-76.29,157.32333,"(-76.29, 157.32333)",21.5,1.33243845991561
"Elephant Moraine 83347",7983,"Valid","H5",37.2,"Found",1983,-76.28083,157.23055,"(-76.28083, 157.23055)",37.2,1.5705429398819
"Elephant Moraine 83348",7984,"Valid","L6",299.2,"Found",1983,-76.2875,157.20389,"(-76.2875, 157.20389)",299.2,2.47596158919242
"Elephant Moraine 83349",7985,"Valid","H5",27.5,"Found",1983,-76.29806,157.275,"(-76.29806, 157.275)",27.5,1.43933269383026
"Elephant Moraine 83350",7986,"Valid","L6",88.7,"Found",1983,-76.29805,157.17778,"(-76.29805, 157.17778)",88.7,1.94792361983173
"Elephant Moraine 90191",8600,"Valid","L6",11,"Found",1990,-76.27628,156.49863,"(-76.27628, 156.49863)",11,1.04139268515823
"Elephant Moraine 83351",7987,"Valid","H5",80.8,"Found",1983,-76.30972,157.31333,"(-76.30972, 157.31333)",80.8,1.90741136077459
"Elephant Moraine 83353",7989,"Valid","L6",53.8,"Found",1983,-76.30667,157.18195,"(-76.30667, 157.18195)",53.8,1.73078227566639
"Elephant Moraine 83354",7990,"Valid","L6",8.4,"Found",1983,-76.32639,157.18833,"(-76.32639, 157.18833)",8.4,0.924279286061882
"Elephant Moraine 83356",7992,"Valid","L6",18.2,"Found",1983,-76.29639,157.23472,"(-76.29639, 157.23472)",18.2,1.26007138798507
"Elephant Moraine 83358",7994,"Valid","L6",25.7,"Found",1983,-76.30028,157.27083,"(-76.30028, 157.27083)",25.7,1.40993312333129
"Elephant Moraine 83360",7996,"Valid","H6",40.1,"Found",1983,-76.31778,157.26055,"(-76.31778, 157.26055)",40.1,1.60314437262018
"Elephant Moraine 83362",7998,"Valid","H6",10.1,"Found",1983,-76.32722,157.19472,"(-76.32722, 157.19472)",10.1,1.00432137378264
"Elephant Moraine 83363",7999,"Valid","L6",184.7,"Found",1983,-76.32833,157.23028,"(-76.32833, 157.23028)",184.7,2.26646689544024
"Elephant Moraine 83364",8000,"Valid","L6",204.9,"Found",1983,-76.30417,157.17306,"(-76.30417, 157.17306)",204.9,2.3115419584012
"Elephant Moraine 83365",8001,"Valid","L6",157.6,"Found",1983,-76.31444,157.26611,"(-76.31444, 157.26611)",157.6,2.19755621315354
"Elephant Moraine 83366",8002,"Valid","L6",188.5,"Found",1983,-76.32306,157.18333,"(-76.32306, 157.18333)",188.5,2.27531135454181
"Elephant Moraine 83367",8003,"Valid","H6",107.4,"Found",1983,-76.28778,157.2075,"(-76.28778, 157.2075)",107.4,2.03100428136354
"Elephant Moraine 83368",8004,"Valid","L6",50.9,"Found",1983,-76.26667,157.15778,"(-76.26667, 157.15778)",50.9,1.70671778233676
"Elephant Moraine 83369",8005,"Valid","H5",38.9,"Found",1983,-76.30389,157.27306,"(-76.30389, 157.27306)",38.9,1.58994960132571
"Elephant Moraine 83370",8006,"Valid","L6",24.1,"Found",1983,-76.27889,157.21695,"(-76.27889, 157.21695)",24.1,1.38201704257487
"Elephant Moraine 83371",8007,"Valid","L6",169.9,"Found",1983,-76.28306,157.19639,"(-76.28306, 157.19639)",169.9,2.23019337886905
"Elephant Moraine 83372",8008,"Valid","H5",168.9,"Found",1983,-76.27472,157.18472,"(-76.27472, 157.18472)",168.9,2.22762964957101
"Elephant Moraine 83373",8009,"Valid","H6",158.9,"Found",1983,-76.31722,157.26,"(-76.31722, 157.26)",158.9,2.20112389720738
"Elephant Moraine 83374",8010,"Valid","H6",95.8,"Found",1983,-76.29944,157.2925,"(-76.29944, 157.2925)",95.8,1.98136550907854
"Elephant Moraine 83375",8011,"Valid","L6",266.6,"Found",1983,-76.29028,157.18806,"(-76.29028, 157.18806)",266.6,2.42586014507784
"Elephant Moraine 83377",8013,"Valid","H5",151.7,"Found",1983,-76.2875,157.21167,"(-76.2875, 157.21167)",151.7,2.18098558078673
"Elephant Moraine 83378",8014,"Valid","L6",212.3,"Found",1983,-76.32861,157.23,"(-76.32861, 157.23)",212.3,2.326949994166
"Elephant Moraine 83379",8015,"Valid","L6",177.4,"Found",1983,-76.27361,157.19389,"(-76.27361, 157.19389)",177.4,2.24895361549571
"Elephant Moraine 83382",8017,"Valid","H6",11.6,"Found",1983,-76.2975,157.24083,"(-76.2975, 157.24083)",11.6,1.06445798922692
"Elephant Moraine 83383",8018,"Valid","L6",116.8,"Found",1983,-76.32861,157.20444,"(-76.32861, 157.20444)",116.8,2.06744284277638
"Elephant Moraine 83384",8019,"Valid","L6",21.7,"Found",1983,-76.26861,157.18528,"(-76.26861, 157.18528)",21.7,1.33645973384853
"Elephant Moraine 83385",8020,"Valid","H6",3.9,"Found",1983,-76.27167,157.2025,"(-76.27167, 157.2025)",3.9,0.591064607026499
"Elephant Moraine 83386",8021,"Valid","L5",37.8,"Found",1983,-76.29139,157.15333,"(-76.29139, 157.15333)",37.8,1.57749179983723
"Elephant Moraine 83387",8022,"Valid","L6",80.9,"Found",1983,-76.32528,157.18639,"(-76.32528, 157.18639)",80.9,1.90794852161227
"Elephant Moraine 83388",8023,"Valid","H5",34.7,"Found",1983,-76.32417,157.18722,"(-76.32417, 157.18722)",34.7,1.54032947479087
"Elephant Moraine 83392",8027,"Valid","L6",163.8,"Found",1983,-76.32444,157.17917,"(-76.32444, 157.17917)",163.8,2.2143138974244
"Elephant Moraine 83393",8028,"Valid","H6",30,"Found",1983,-76.29444,157.23194,"(-76.29444, 157.23194)",30,1.47712125471966
"Elephant Moraine 83394",8029,"Valid","H6",54.3,"Found",1983,-76.32861,157.22417,"(-76.32861, 157.22417)",54.3,1.73479982958885
"Elephant Moraine 83396",8031,"Valid","L6",198.3,"Found",1983,-76.305,157.19611,"(-76.305, 157.19611)",198.3,2.2973227142053
"Elephant Moraine 83397",8032,"Valid","H6",32.1,"Found",1983,-76.28667,157.24722,"(-76.28667, 157.24722)",32.1,1.50650503240487
"Elephant Moraine 83398",8033,"Valid","L5",67.2,"Found",1983,-76.18333,157.16667,"(-76.18333, 157.16667)",67.2,1.82736927305383
"Elephant Moraine 83400",8035,"Valid","H5",112.9,"Found",1983,-76.32917,157.20167,"(-76.32917, 157.20167)",112.9,2.05269394192497
"Elephant Moraine 83402",8037,"Valid","H5",50.3,"Found",1983,-76.32778,157.23222,"(-76.32778, 157.23222)",50.3,1.70156798505593
"Elephant Moraine 83403",8038,"Valid","H5",11.7,"Found",1983,-76.30195,157.27277,"(-76.30195, 157.27277)",11.7,1.06818586174616
